YEAR,TEAM NO1,TEAM1,SEED1,CURRENT ROUND,TEAM NO2,TEAM2,SEED2,DUNKS FG%1,DUNKS FG%2,WINNER
2024,1067,Connecticut,1,64,1026,Stetson,16,92.1,91.0,0.0
2024,1060,Florida Atlantic,8,64,1036,Northwestern,9,82.9,86.3,1.0
2024,1029,San Diego St.,5,64,1020,UAB,12,83.3,88.5,0.0
2024,1076,Auburn,4,64,1012,Yale,13,87.7,93.9,1.0
2024,1073,BYU,6,64,1062,Duquesne,11,88.9,77.9,1.0
2024,1054,Illinois,3,64,1042,Morehead St.,14,88.2,87.9,0.0
2024,1015,Washington St.,7,64,1064,Drake,10,92.6,83.3,0.0
2024,1053,Iowa St.,2,64,1027,South Dakota St.,15,90.5,86.0,0.0
2024,1038,North Carolina,1,64,1016,Wagner,16,85.2,86.4,0.0
2024,1044,Mississippi St.,8,64,1045,Michigan St.,9,90.5,86.9,1.0
2024,1032,Saint Mary's,5,64,1057,Grand Canyon,12,88.2,88.2,1.0
2024,1078,Alabama,4,64,1070,College of Charleston,13,81.9,92.9,0.0
2024,1072,Clemson,6,64,1039,New Mexico,11,97.2,84.1,0.0
2024,1075,Baylor,3,64,1071,Colgate,14,89.2,100.0,0.0
2024,1065,Dayton,7,64,1040,Nevada,10,94.4,95.4,0.0
2024,1077,Arizona,2,64,1049,Long Beach St.,15,91.2,96.4,0.0
2024,1056,Houston,1,64,1048,Longwood,16,91.0,88.0,0.0
2024,1041,Nebraska,8,64,1022,Texas A&M,9,83.3,81.3,1.0
2024,1013,Wisconsin,5,64,1052,James Madison,12,83.6,87.4,1.0
2024,1063,Duke,4,64,1018,Vermont,13,94.6,87.3,0.0
2024,1021,Texas Tech,6,64,1037,North Carolina St.,11,91.7,91.7,1.0
2024,1050,Kentucky,3,64,1035,Oakland,14,85.7,90.7,1.0
2024,1061,Florida,7,64,1069,Colorado,10,90.4,87.0,1.0
2024,1047,Marquette,2,64,1014,Western Kentucky,15,91.3,89.1,0.0
2024,1033,Purdue,1,64,1058,Grambling St.,16,95.6,95.2,0.0
2024,1019,Utah St.,8,64,1025,TCU,9,86.4,87.5,0.0
2024,1059,Gonzaga,5,64,1046,McNeese St.,12,94.2,92.8,0.0
